pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence,entry_type,mbl_position_ok,price_above_ema200,golden_cross_state
OKB-USD,LONG,2021-11-08,31.271732330322266,26.183421219025632,41.44835455291553,82,True,False,True,0.393,2021-11-12,26.183421219025632,LOSS,4,donchian,crypto,,,,,
ONE-USD,LONG,2021-11-08,0.0028379999566823244,0.002538701157143756,0.0034365975557594615,82,True,False,False,0.234,2021-11-10,0.002538701157143756,LOSS,2,donchian,crypto,,,,,
BCH-USD,LONG,2021-11-09,716.318603515625,647.9243417236737,853.1071270995276,83,True,True,True,1.775,2021-11-12,647.9243417236737,LOSS,3,donchian,crypto,,,,,
DASH-USD,LONG,2021-11-09,234.65283203125,208.1064814802671,287.7455331332158,83,True,True,True,1.556,2021-11-16,208.1064814802671,LOSS,7,donchian,crypto,,,,,
ETC-USD,LONG,2021-11-09,60.83148193359375,53.7840833624894,74.92627907580246,83,True,True,True,0.244,2021-11-10,53.7840833624894,LOSS,1,donchian,crypto,,,,,
ONT-USD,LONG,2021-11-09,1.186089038848877,1.0224441335489411,1.5133788494487486,83,True,True,True,0.234,2021-11-10,1.0224441335489411,LOSS,1,donchian,crypto,,,,,
XLM-USD,LONG,2021-11-09,0.41214901208877563,0.36587091585238746,0.504705204561552,83,True,True,True,0.59,2021-11-12,0.36587091585238746,LOSS,3,donchian,crypto,,,,,
XVG-USD,LONG,2021-11-09,0.02609499916434288,0.022841078737539072,0.032602840017950496,83,True,False,True,0.023,2021-11-10,0.032602840017950496,WIN,1,donchian,crypto,,,,,
ZEC-USD,LONG,2021-11-09,198.8115997314453,173.89705212145552,248.6406949514249,83,True,True,True,0.678,2021-11-10,173.89705212145552,LOSS,1,donchian,crypto,,,,,
CVX-USD,LONG,2021-11-10,40.37348937988281,31.735261720869058,57.64994469791032,84,True,True,True,1.649,2021-11-11,31.735261720869058,LOSS,1,donchian,crypto,,,,,
USDCAD=X,LONG,2021-11-11,1.2486499547958374,1.2321195879158318,1.2817106885558487,61,True,False,False,0.037,2021-11-30,1.2817106885558487,WIN,13,donchian,forex,,,,,
USDNOK=X,LONG,2021-11-11,8.636249542236328,8.420841957565148,9.067064711578688,61,True,False,False,0.326,2021-11-26,9.067064711578688,WIN,11,donchian,forex,,,,,
USDSEK=X,LONG,2021-11-11,8.699199676513672,8.531717563376324,9.034163902788368,61,False,False,False,0.089,2021-11-24,9.034163902788368,WIN,9,donchian,forex,,,,,
RENDER-USD,LONG,2021-11-11,2.861875057220459,2.159409391207914,4.266806389245549,85,True,True,True,1.059,2021-11-15,4.266806389245549,WIN,4,donchian,crypto,,,,,
ZEC-USD,LONG,2021-11-11,205.4046173095703,173.86753215583948,268.47878761703197,85,True,True,True,0.077,2021-11-16,173.86753215583948,LOSS,5,donchian,crypto,,,,,
GM,LONG,2021-11-11,59.37631607055664,55.97044427524373,66.18805966118246,60,True,True,True,0.711,2021-11-30,55.97044427524373,LOSS,12,donchian,stocks,,,,,
SI=F,LONG,2021-11-11,25.301000595092773,24.539692179342328,26.823617426593664,60,True,False,True,1.403,2021-11-22,24.539692179342328,LOSS,7,donchian,metals,,,,,
PL=F,LONG,2021-11-11,1093.300048828125,1059.8392318505375,1160.2216827833,60,True,False,True,1.046,2021-11-18,1059.8392318505375,LOSS,5,donchian,metals,,,,,
^FTSE,LONG,2021-11-11,7384.2001953125,7273.696289908068,7605.208006121364,60,True,False,True,0.796,2021-11-18,7273.696289908068,LOSS,5,donchian,indices,,,,,
SB=F,LONG,2021-11-11,20.1200008392334,19.321741832665907,21.71651885236838,60,True,False,True,0.05,2021-11-26,19.321741832665907,LOSS,10,donchian,commodities,,,,,
ZW=F,LONG,2021-11-11,812.5,774.8401485444447,887.8197029111107,60,True,True,True,0.292,2021-11-30,774.8401485444447,LOSS,12,donchian,commodities,,,,,
USDPLN=X,LONG,2021-11-12,4.046760082244873,3.962331796814632,4.215616653105355,62,True,False,False,0.035,2022-01-12,3.962331796814632,LOSS,43,donchian,forex,,,,,
XVG-USD,LONG,2021-11-12,0.03486400097608566,0.029519592652134982,0.045552817623987024,86,True,True,True,0.201,2021-11-14,0.029519592652134982,LOSS,2,donchian,crypto,,,,,
GC=F,LONG,2021-11-12,1867.9000244140625,1828.975343583808,1945.7493860745717,61,True,False,True,0.072,2021-11-22,1828.975343583808,LOSS,6,donchian,metals,,,,,
PA=F,LONG,2021-11-12,2114.60009765625,2031.9376975959437,2279.9248977768625,61,True,False,True,0.264,2021-11-22,2031.9376975959437,LOSS,6,donchian,metals,,,,,
