pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,adx_strong,exit_date,exit_price,outcome,bars_held
NZDCHF,LONG,2026-01-15,0.45925000309944153,0.45113786956411517,0.47547427017009425,1156,False,False,2026-07-21,0.47547427017009425,WIN,133.0
CADCHF,LONG,2024-05-29,0.6684600114822388,0.6611235682271689,0.6831328979923785,735,False,False,2024-05-30,0.6611235682271689,LOSS,1.0
CADCHF,LONG,2025-12-03,0.5746300220489502,0.5661781394823724,0.5915337871821058,1127,False,False,2026-01-26,0.5661781394823724,LOSS,36.0
CADCHF,LONG,2026-03-23,0.5745900273323059,0.5662150642715312,0.5913399534538553,1203,False,True,2026-04-14,0.5662150642715312,LOSS,16.0
CADCHF,LONG,2026-05-01,0.5755199790000916,0.5682945446297947,0.5899708477406853,1232,False,False,2026-05-08,0.5682945446297947,LOSS,5.0
CADCHF,LONG,2026-06-11,0.5734999775886536,0.5669240790782343,0.5866517746094921,1261,False,False,2026-06-15,0.5669240790782343,LOSS,2.0
CADCHF,LONG,2026-06-25,0.5707499980926514,0.5644585827661636,0.583332828745627,1271,False,False,,,OPEN,
USDSEK,SHORT,2023-03-27,10.40060043334961,10.717187776603007,9.767425746842815,428,False,False,2023-05-24,10.717187776603007,LOSS,42.0
USDSEK,LONG,2024-12-02,10.927069664001465,10.663622580697716,11.453963830608963,868,False,True,2024-12-25,10.663622580697716,LOSS,17.0
USDSEK,LONG,2025-11-20,9.537260055541992,9.379801029870075,9.852178106885827,1118,False,False,2025-11-28,9.379801029870075,LOSS,6.0
USDSEK,SHORT,2026-02-09,8.9993896484375,9.209173580120087,8.579821785072326,1173,False,True,2026-03-03,9.209173580120087,LOSS,16.0
USDSEK,LONG,2026-04-30,9.304550170898438,9.094575176031835,9.724500160631642,1231,False,False,2026-06-23,9.724500160631642,WIN,38.0
USDSEK,LONG,2026-07-15,9.655759811401367,9.474909080352003,10.017461273500096,1285,False,True,,,OPEN,
USDNOK,SHORT,2022-07-25,9.90999984741211,10.267916332246724,9.19416687774288,253,False,False,2022-09-16,10.267916332246724,LOSS,39.0
USDNOK,SHORT,2023-01-23,9.845450401306152,10.180807328303354,9.174736547311749,383,False,False,2023-02-03,10.180807328303354,LOSS,9.0
USDNOK,LONG,2025-11-28,10.16018009185791,9.978347529792973,10.523845215987784,1124,False,False,2025-12-24,9.978347529792973,LOSS,18.0
USDNOK,LONG,2026-01-14,10.085229873657227,9.943836770089083,10.368016080793513,1155,False,False,2026-01-21,9.943836770089083,LOSS,5.0
USDNOK,SHORT,2026-02-26,9.541720390319824,9.761482526227715,9.102196118504043,1186,False,False,2026-03-03,9.761482526227715,LOSS,3.0
USDNOK,SHORT,2026-03-23,9.566550254821777,9.81089859200374,9.077853580457852,1203,False,False,2026-03-31,9.81089859200374,LOSS,6.0
USDNOK,SHORT,2026-05-15,9.273550033569336,9.462632807693385,8.895384485321237,1242,False,True,2026-06-08,9.462632807693385,LOSS,16.0
USDNOK,LONG,2026-07-09,9.759349822998047,9.573715415016798,10.130618638960545,1281,False,True,2026-07-23,9.573715415016798,LOSS,10.0
EURSEK,LONG,2023-01-23,11.173800468444824,10.94810413484651,11.625193135641453,383,False,True,2023-05-30,11.625193135641453,WIN,91.0
EURSEK,SHORT,2024-02-29,11.18082046508789,11.333400873610188,10.875659648043296,671,False,True,2024-03-18,11.333400873610188,LOSS,12.0
EURSEK,LONG,2024-07-08,11.39050006866455,11.214385091726367,11.742730022540918,763,True,True,2024-07-25,11.742730022540918,WIN,13.0
EURSEK,SHORT,2025-11-14,10.937239646911621,11.063382681530015,10.684953577674833,1114,False,False,2026-01-15,10.684953577674833,WIN,42.0
EURSEK,SHORT,2026-02-11,10.562800407409668,10.713907591946054,10.260586038336896,1175,False,True,2026-03-02,10.713907591946054,LOSS,13.0
EURSEK,LONG,2026-05-06,10.826709747314453,10.67772239410545,11.12468445373246,1235,False,False,,,OPEN,
EURNOK,LONG,2022-12-13,10.519700050354004,10.274114334277284,11.010871482507444,354,False,False,2023-02-03,11.010871482507444,WIN,38.0
EURNOK,SHORT,2025-04-04,11.4068603515625,11.647984003501229,10.924613047685042,956,False,True,2025-04-07,11.647984003501229,LOSS,1.0
EURNOK,SHORT,2025-11-14,11.655630111694336,11.82071474757066,11.325460839941687,1114,False,False,2025-11-21,11.82071474757066,LOSS,5.0
EURNOK,SHORT,2026-05-27,10.775500297546387,10.936087673942858,10.454325544753445,1250,False,True,2026-06-09,10.936087673942858,LOSS,9.0
EURNOK,LONG,2026-07-13,11.153380393981934,10.987790571549278,11.484560038847246,1283,False,True,2026-07-21,10.987790571549278,LOSS,6.0
