pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence
JASMY-USD,LONG,2021-11-02,0.27757298946380615,0.2181335865562199,0.39645179527897867,84,True,True,True,3.264,2021-11-03,0.2181335865562199,LOSS,1,donchian,crypto,
LRC-USD,LONG,2021-11-02,1.4383759498596191,1.1626747685186194,1.9897783125416186,84,True,True,True,2.357,2021-11-03,1.1626747685186194,LOSS,1,donchian,crypto,
MKR-USD,LONG,2021-11-02,2806.872802734375,2471.6710348308115,3477.276338541502,84,True,True,True,0.615,2021-11-03,3477.276338541502,WIN,1,donchian,crypto,
RENDER-USD,LONG,2021-11-02,1.4065150022506714,1.1407021703273001,1.9381406660974139,84,True,True,True,1.676,2021-11-07,1.9381406660974139,WIN,5,donchian,crypto,
SAND-USD,LONG,2021-11-02,3.0660879611968994,2.398990761161145,4.400282361268408,84,True,True,True,1.967,2021-11-09,2.398990761161145,LOSS,7,donchian,crypto,
TRX-USD,LONG,2021-11-02,0.1073950007557869,0.0958697639184821,0.13044547443039647,84,True,True,True,0.239,2021-11-26,0.0958697639184821,LOSS,24,donchian,crypto,
^GDAXI,LONG,2021-11-02,15954.4501953125,15638.283250043505,16586.78408585049,60,True,False,True,0.665,2021-11-26,15638.283250043505,LOSS,18,donchian,indices,
^FCHI,LONG,2021-11-02,6927.02978515625,6780.187358359591,7220.714638749569,60,True,False,True,0.25,2021-11-26,6780.187358359591,LOSS,18,donchian,indices,
^STOXX50E,LONG,2021-11-02,4296.22021484375,4209.298252751226,4470.064139028798,60,True,False,True,0.101,2021-11-26,4209.298252751226,LOSS,18,donchian,indices,
AVAX-USD,LONG,2021-11-03,75.430419921875,64.87846496081423,96.53432984399655,85,True,True,True,0.483,2021-11-08,96.53432984399655,WIN,5,donchian,crypto,
BAND-USD,LONG,2021-11-03,10.335929870605469,8.792880967566452,13.422027676683502,85,True,True,True,0.112,2021-11-10,8.792880967566452,LOSS,7,donchian,crypto,
CRO-USD,LONG,2021-11-03,0.2692379951477051,0.2344576935516576,0.33879859833980003,85,True,True,True,0.746,2021-11-05,0.33879859833980003,WIN,2,donchian,crypto,
EGLD-USD,LONG,2021-11-03,307.7010803222656,264.3508180341341,394.4016048985287,85,True,True,True,0.452,2021-11-21,394.4016048985287,WIN,18,donchian,crypto,
SNX-USD,LONG,2021-11-03,11.262425422668457,9.555241380631895,14.676793506741582,85,True,True,True,0.122,2021-11-10,9.555241380631895,LOSS,7,donchian,crypto,
XRP-USD,LONG,2021-11-03,1.2087960243225098,1.071356293107229,1.4836754867530715,85,True,True,True,0.339,2021-11-16,1.071356293107229,LOSS,13,donchian,crypto,
F,LONG,2021-11-03,13.810007095336914,12.864367092565722,15.701287100879298,60,True,False,True,0.69,2021-12-10,15.701287100879298,WIN,26,donchian,stocks,
PEP,LONG,2021-11-03,141.20152282714844,137.83846556532632,147.92763735079268,60,True,False,True,0.762,2021-11-30,137.83846556532632,LOSS,18,donchian,stocks,
TSLA,LONG,2021-11-03,404.6199951171875,375.6737977260022,462.5123898995581,60,True,False,True,0.095,2021-11-09,375.6737977260022,LOSS,4,donchian,stocks,
RACE,LONG,2021-11-03,245.73548889160156,235.62606183837747,265.95434299804975,60,True,True,True,1.268,2021-11-22,265.95434299804975,WIN,13,donchian,stocks,
MSFT,LONG,2021-11-03,321.15234375,310.90202238540525,341.6529864791895,60,True,False,True,0.103,2021-12-03,310.90202238540525,LOSS,21,donchian,stocks,
^NDX,LONG,2021-11-03,16144.5,15771.478971097002,16890.542057805997,60,True,False,True,0.837,2021-12-02,15771.478971097002,LOSS,20,donchian,indices,
^DJI,LONG,2021-11-03,36157.578125,35547.399645363934,37377.93508427213,60,True,False,True,0.225,2021-11-23,35547.399645363934,LOSS,14,donchian,indices,
^GSPC,LONG,2021-11-03,4660.56982421875,4579.033123563003,4823.643225530244,60,True,False,True,0.624,2021-11-30,4579.033123563003,LOSS,18,donchian,indices,
FTSEMIB.MI,LONG,2021-11-03,27378.0,26818.092919532806,28497.814160934387,61,True,False,True,0.268,2021-11-24,26818.092919532806,LOSS,15,donchian,indices,
^RUT,LONG,2021-11-03,2404.280029296875,2337.8179860514883,2537.2041157876483,60,True,False,True,1.226,2021-11-22,2337.8179860514883,LOSS,13,donchian,indices,
RVN-USD,LONG,2021-11-04,0.14493800699710846,0.12212087826680293,0.19057226445771952,86,True,True,True,0.406,2021-11-10,0.12212087826680293,LOSS,6,donchian,crypto,
SOL-USD,LONG,2021-11-04,247.3877716064453,213.40003980337056,315.3632352125948,86,True,False,True,0.063,2021-11-17,213.40003980337056,LOSS,13,donchian,crypto,
APA,LONG,2021-11-04,25.051855087280273,23.042620005203037,29.070325251434745,61,True,True,True,0.257,2021-11-19,23.042620005203037,LOSS,11,donchian,stocks,
WMT,LONG,2021-11-04,47.48286819458008,46.30180821351067,49.8449881567189,61,True,False,True,0.282,2021-11-15,46.30180821351067,LOSS,7,donchian,stocks,
AMZN,LONG,2021-11-05,175.94949340820312,168.09008424738155,191.66831172984627,62,True,True,True,0.259,2021-12-03,168.09008424738155,LOSS,19,donchian,stocks,
SBUX,LONG,2021-11-05,104.44137573242188,99.7739089319526,113.77630933336042,62,True,False,True,0.513,2021-11-11,99.7739089319526,LOSS,4,donchian,stocks,
GC=F,LONG,2021-11-05,1816.4000244140625,1778.621098611971,1891.9578760182453,62,True,False,True,0.392,2021-11-30,1778.621098611971,LOSS,16,donchian,metals,
^FTSE,LONG,2021-11-05,7304.0,7191.507711796821,7528.9845764063575,62,True,False,True,0.011,2021-11-26,7191.507711796821,LOSS,15,donchian,indices,
BNB-USD,LONG,2021-11-06,636.1139526367188,574.2977906222707,759.7462766656149,88,True,False,True,0.664,2021-11-16,574.2977906222707,LOSS,10,donchian,crypto,
ENJ-USD,LONG,2021-11-06,3.5005578994750977,2.728665656764879,5.044342384895535,88,True,True,True,0.012,2021-11-10,2.728665656764879,LOSS,4,donchian,crypto,
API3-USD,LONG,2021-11-07,6.584994792938232,5.420197722016424,8.914588934781849,89,True,True,True,0.614,2021-11-09,5.420197722016424,LOSS,2,donchian,crypto,
GNO-USD,LONG,2021-11-07,539.7034912109375,482.92427659034064,653.2619204521312,89,True,True,True,1.594,2021-11-08,653.2619204521312,WIN,1,donchian,crypto,
JUP-USD,LONG,2021-11-07,0.0286289993673563,0.021669401967516128,0.042548194167036646,89,True,True,True,0.5,2021-11-16,0.042548194167036646,WIN,9,donchian,crypto,
UMA-USD,LONG,2021-11-07,15.982217788696289,12.814481343066777,22.317690679955312,89,True,True,True,0.969,2021-11-15,22.317690679955312,WIN,8,donchian,crypto,
ETH-USD,LONG,2021-11-08,4812.08740234375,4389.60411226627,5657.05398249871,90,True,False,True,0.697,2021-11-16,4389.60411226627,LOSS,8,donchian,crypto,
LRC-USD,LONG,2021-11-08,2.0346579551696777,1.531819324857346,3.0403352157943413,90,True,True,True,1.283,2021-11-10,3.0403352157943413,WIN,2,donchian,crypto,
NEO-USD,LONG,2021-11-08,50.56210708618164,44.825334975218965,62.03565130810699,90,True,True,True,0.898,2021-11-16,44.825334975218965,LOSS,8,donchian,crypto,
OKB-USD,LONG,2021-11-08,31.271732330322266,26.182879040736758,41.44943890949328,90,True,False,True,0.393,2021-11-12,26.182879040736758,LOSS,4,donchian,crypto,
ONE-USD,LONG,2021-11-08,0.0028379999566823244,0.0025388208401583927,0.0034363581897301878,90,True,False,False,0.234,2021-11-10,0.0025388208401583927,LOSS,2,donchian,crypto,
VET-USD,LONG,2021-11-08,0.17568199336528778,0.15144078944543388,0.2241644012049956,90,True,True,True,0.943,2021-11-10,0.15144078944543388,LOSS,2,donchian,crypto,
GM,LONG,2021-11-08,57.24407196044922,54.24647866528786,63.239258550771936,63,True,False,True,0.16,2021-12-17,54.24647866528786,LOSS,28,donchian,stocks,
BCH-USD,LONG,2021-11-09,716.318603515625,647.8976807371606,853.1604490725538,91,True,True,True,1.774,2021-11-12,647.8976807371606,LOSS,3,donchian,crypto,
DASH-USD,LONG,2021-11-09,234.65283203125,208.12577173683752,287.70695262007496,91,True,True,True,1.557,2021-11-16,208.12577173683752,LOSS,7,donchian,crypto,
ETC-USD,LONG,2021-11-09,60.83148193359375,53.77519302988877,74.94405974100371,91,True,True,True,0.244,2021-11-10,53.77519302988877,LOSS,1,donchian,crypto,
GRT-USD,LONG,2021-11-09,1.209581971168518,1.0194179154711747,1.5899100825632049,91,True,False,True,0.208,2021-11-10,1.0194179154711747,LOSS,1,donchian,crypto,
ONT-USD,LONG,2021-11-09,1.186089038848877,1.0223923914452382,1.5134823336561545,91,True,True,True,0.234,2021-11-10,1.0223923914452382,LOSS,1,donchian,crypto,
XLM-USD,LONG,2021-11-09,0.41214901208877563,0.36582691954743907,0.5047931971714488,91,True,True,True,0.589,2021-11-12,0.36582691954743907,LOSS,3,donchian,crypto,
XVG-USD,LONG,2021-11-09,0.02609499916434288,0.02283709353008714,0.03261081043285436,91,True,False,True,0.023,2021-11-10,0.03261081043285436,WIN,1,donchian,crypto,
ZEC-USD,LONG,2021-11-09,198.8115997314453,173.8943857204001,248.64602775353575,91,True,True,True,0.678,2021-11-10,173.8943857204001,LOSS,1,donchian,crypto,
CVX-USD,LONG,2021-11-10,40.37348937988281,31.73533181360071,57.64980451244702,92,True,True,True,1.649,2021-11-11,31.73533181360071,LOSS,1,donchian,crypto,
SI=F,LONG,2021-11-10,24.767000198364258,24.029980224120344,26.241040146852086,65,True,False,True,0.521,2021-11-23,24.029980224120344,LOSS,9,donchian,metals,
PL=F,LONG,2021-11-10,1075.800048828125,1042.5318560253788,1142.3364344336173,65,True,False,True,0.571,2021-11-19,1042.5318560253788,LOSS,7,donchian,metals,
USDCAD=X,LONG,2021-11-11,1.2486499547958374,1.2322166407605335,1.2815165828664452,67,True,False,False,0.038,2021-11-30,1.2815165828664452,WIN,13,donchian,forex,
USDNOK=X,LONG,2021-11-11,8.636249542236328,8.42140337248498,9.065941881739025,67,True,False,False,0.327,2021-11-26,9.065941881739025,WIN,11,donchian,forex,
USDSEK=X,LONG,2021-11-11,8.699199676513672,8.53182275475977,9.033953520021477,67,False,False,False,0.089,2021-11-24,9.033953520021477,WIN,9,donchian,forex,
RENDER-USD,LONG,2021-11-11,2.861875057220459,2.1595081630118957,4.2666088456375855,93,True,True,True,1.059,2021-11-15,4.2666088456375855,WIN,4,donchian,crypto,
ZEC-USD,LONG,2021-11-11,205.4046173095703,173.86523306513354,268.48338579844386,93,True,True,True,0.077,2021-11-16,173.86523306513354,LOSS,5,donchian,crypto,
SB=F,LONG,2021-11-11,20.1200008392334,19.319595472036916,21.720811573626364,66,True,False,True,0.05,2021-11-26,19.319595472036916,LOSS,10,donchian,commodities,
ZW=F,LONG,2021-11-11,812.5,774.7290414245814,888.0419171508372,66,True,True,True,0.291,2021-11-30,774.7290414245814,LOSS,12,donchian,commodities,
USDPLN=X,LONG,2021-11-12,4.046760082244873,3.962325071009498,4.215630104715623,68,True,False,False,0.035,2022-01-12,3.962325071009498,LOSS,43,donchian,forex,
XVG-USD,LONG,2021-11-12,0.03486400097608566,0.029516401871970296,0.0455591991843164,94,True,True,True,0.2,2021-11-14,0.029516401871970296,LOSS,2,donchian,crypto,
PA=F,LONG,2021-11-12,2114.60009765625,2031.9537744748388,2279.8927440190723,67,True,False,True,0.264,2021-11-22,2031.9537744748388,LOSS,6,donchian,metals,
